AKU AKU	(1-INCH-SQUARE) CHUNKS PINEAPPLE 		FRUIT (PINEAPPLE)	39
AKU AKU	MINT LEAVES		LEAVES (MINT)	39
AKU AKU	LIME JUICE		JUICE (LIME)	39
AKU AKU	DEMERARA SYRUP		SYRUP (DEMERARA)	39
AKU AKU	PEACH LIQUEUR (SUCH AS MATHILDE, COMBIER, OR GIFFARD)		LIQUEUR (PEACH)	39
AKU AKU	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	39
				
PUPULE	LIME JUICE		JUICE (LIME)	39
PUPULE	ORANGE JUICE		JUICE (ORANGE)	39
PUPULE	CINNAMON SYRUP		SYRUP (CINNAMON)	39
PUPULE	VANILLA SYRUP		SYRUP (VANILLA)	39
PUPULE	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	39
PUPULE	COLUMN STILL AGED RUM	4	RUM (COLUMN STILL AGED)	39
PUPULE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	39
				
DON'S OWN GROG	LIME JUICE		JUICE (LIME)	40
DON'S OWN GROG	DEMERARA SYRUP		SYRUP (DEMERARA)	40
DON'S OWN GROG	GRENADINE		SYRUP (GRENADINE)	40
DON'S OWN GROG	LEOPOLD BROTHERS ROCKY MOUNTAIN BLACKBERRY LIQUEUR		LIQUEUR (BLACKBERRY)	40
DON'S OWN GROG	BLENDED AGED RUM	3	RUM (BLENDED AGED)	40
DON'S OWN GROG	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	40
DON'S OWN GROG	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	40
DON'S OWN GROG	ANGOSTURA BITTERS		BITTERS (AROMATIC)	40
				
PORT AU PRINCE	LIME JUICE		JUICE (LIME)	40
PORT AU PRINCE	PINEAPPLE JUICE		JUICE (PINEAPPLE)	40
PORT AU PRINCE	DEMERARA SYRUP		SYRUP (DEMERARA)	40
PORT AU PRINCE	GRENADINE		SYRUP (GRENADINE)	40
